id,Umsatz
1808011,162.2536
1808021,165.44098
1808031,166.77182
1808041,195.77971
1808051,163.60724
1808061,168.05444
1808071,148.86618
1808081,155.18298
1808091,168.04648
1808101,181.14386
1808111,194.98828
1808121,140.8671
1808131,165.80399
1808141,156.67003
1808151,154.61069
1808161,159.2065
1808171,177.67868
1808181,183.04926
1808191,106.514786
1808201,153.64795
1808211,141.8302
1808221,136.26505
1808231,155.89346
1808241,156.73904
1808251,163.6675
1808261,95.137474
1808271,151.28104
1808281,141.25363
1808291,138.88086
1808301,151.52075
1808311,150.53473
1809011,154.8071
1809021,93.34913
1809031,140.44147
1809041,132.0856
1809051,134.63417
1809061,146.10484
1809071,139.96967
1809081,146.10873
1809091,92.747795
1809101,143.66019
1809111,130.79825
1809121,132.01984
1809131,144.1898
1809141,142.27475
1809151,147.11848
1809161,89.16096
1809171,142.46803
1809181,126.79211
1809191,132.27347
1809201,144.17056
1809211,135.07355
1809221,144.71849
1809231,88.60126
1809241,135.74742
1809251,126.14381
1809261,130.04553
1809271,139.76974
1809281,133.22632
1809291,146.49513
1809301,82.98619
1810011,150.7638
1810021,143.93127
1810031,139.86197
1810041,157.22922
1810051,150.6305
1810061,160.73325
1810071,102.61055
1810081,151.63142
1810091,145.7782
1810101,142.23344
1810111,155.09662
1810121,158.60521
1810131,174.77243
1810141,110.557686
1810151,160.6019
1810161,147.501
1810171,150.96936
1810181,153.7107
1810191,149.13344
1810201,153.16663
1810211,86.33221
1810221,141.09317
1810231,131.2605
1810241,128.34631
1810251,139.62363
1810261,137.49274
1810271,145.99506
1810281,84.986885
1810291,136.88664
1810301,127.14302
1811011,131.03636
1811021,124.01675
1811031,133.84387
1811041,81.62647
1811051,130.29733
1811061,114.93496
1811071,113.19712
1811081,127.08359
1811091,122.53408
1811101,132.9199
1811111,77.826485
1811121,125.27018
1811131,115.031006
1811141,116.40636
1811151,131.32501
1811161,126.10232
1811171,132.33627
1811181,84.37176
1811191,125.50027
1811201,110.71021
1811211,109.34632
1811221,119.813545
1811231,119.532524
1811241,127.78246
1811251,79.094246
1811261,120.343414
1811271,110.94552
1811281,109.46725
1811291,118.745186
1811301,126.075905
1812011,125.865135
1812021,75.564705
1812031,119.06141
1812041,109.31209
1812051,106.37064
1812061,120.79706
1812071,114.88318
1812081,125.512955
1812091,76.89786
1812101,116.50945
1812111,109.82101
1812121,104.966255
1812131,116.698944
1812141,111.72394
1812151,122.04591
1812161,76.5521
1812171,113.93929
1812181,107.1028
1812191,104.26162
1812201,116.34875
1812211,128.51218
1812221,141.36209
1812231,91.38466
1812241,128.56065
1812271,135.26782
1812281,134.49779
1812291,142.49988
1812301,93.039085
1812311,818.09924
1901021,119.79191
1901031,131.88605
1901041,135.18234
1901051,124.670265
1901061,68.651024
1901071,120.78492
1901081,110.17774
1901091,109.75016
1901101,121.57857
1901111,117.39366
1901121,124.36089
1901131,68.09077
1901141,120.93188
1901151,110.71767
1901161,110.561714
1901171,118.20515
1901181,118.54967
1901191,122.43916
1901201,69.17452
1901211,118.32745
1901221,105.30729
1901231,103.682785
1901241,115.91086
1901251,116.29121
1901261,118.65009
1901271,66.89694
1901281,115.95826
1901291,106.97609
1901301,107.51661
1901311,117.45189
1902011,113.39642
1902021,119.87804
1902031,80.65383
1902041,120.842125
