id,Umsatz
1808011,174.99131874076954
1808021,201.87246202070128
1808031,203.34544760930555
1808041,254.59140500809852
1808051,227.8887947335072
1808061,170.92400646256456
1808071,197.80514974249627
1808081,200.399476432097
1808091,177.36045034521567
1808101,178.14676599935464
1808111,229.39272339814755
1808121,226.76745363251075
1808131,168.15656829069644
1808141,173.72780923354182
1808151,175.8874647566114
1808161,200.75112091970482
1808171,174.04851064511354
1808181,229.18324731677106
1808191,178.75807965211055
1808201,124.02025457938271
1808211,123.4757530511487
1808221,150.35689633108043
1808231,127.54306532935371
1808241,129.2255269993345
1808251,150.96507135255868
1808261,182.63113992119702
1808271,123.33358464491742
1808281,123.68522913252522
1808291,126.07007974074943
1808301,124.77562715748559
1808311,129.01605091795798
1809011,180.11405036066265
1809021,182.70837705026338
1809031,124.99363772429089
1809041,125.57047729705334
1809051,127.04346288565762
1809061,128.5164484742619
1809071,127.22199589099804
1809081,97.37507822969276
1809091,98.84806381829704
1809101,124.0974917084491
1809111,122.80303912518524
1809121,98.86786702246182
1809131,127.39510737326543
1809141,128.8680929618697
1809151,97.37507822969276
1809161,98.84806381829704
1809171,40.23717847648274
1809181,41.710164065087014
1809191,43.18314965369129
1809201,44.65613524229556
1809211,104.790752452915
1809221,155.4760393012097
1809231,156.38835433931575
1809241,99.58548003296343
1809251,99.04097850472942
1809261,98.86786702246182
1809271,125.53953422101725
1809281,105.47742238738053
1809291,156.03670985170794
1809301,158.19636537477777
1810011,135.81290038249972
1810021,136.59921603663847
1810031,138.75887155970827
1810041,135.44693185960602
1810051,165.09551331140614
1810061,193.6840918386922
1810071,193.5276397084722
1810081,134.91675436665793
1810091,160.67655654559331
1810101,164.90032095401838
1810111,163.62252772280186
1810121,165.09551331140614
1810131,133.60249857922918
1810141,135.07548416783345
1810151,159.20357095698904
1810161,160.4504211121695
1810171,162.1495421341976
1810181,139.33571113247075
1810191,139.68735562007868
1810201,84.68125957920905
1810211,86.15424516781333
1810221,85.99551536663779
1810231,84.1403922328755
1810241,88.94148654384634
1810251,91.31061814829243
1810261,87.99867844819019
1810271,140.36597694797948
1810281,144.6064007084521
1810291,83.914747129235
1810301,85.38773271783927
1811011,78.06611042113215
1811021,80.86991319210907
1811031,133.53583222834996
1811041,132.0319035637096
1811051,73.4210182218953
1811061,74.89400381049957
1811071,77.4892708483697
1811081,78.96225643697397
1811091,76.77165783786808
1811101,128.01761523666104
1811111,129.4906008252653
1811121,70.879715483451
1811131,72.35270107205527
1811141,76.36698939910384
1811151,78.06611042113215
1811161,82.28987482955702
1811171,134.6571733293463
1811181,130.40246584488534
1811191,74.41730028719387
